text,keyword,probability_disaster
rescued animals have already arrived in the residence of my cousins where kennels were opened for free as temporary shelter w…,rescued,0.31717145
these fires were preceded by the hottest and driest conditions in aus history. unless there are global reductions in…,catastrophic,0.46981472
suarez’s injury is a blessing in disguise for setien. he’s not forced to start suarez every game subsequently giving fati…,injury,0.13807333
21. sir peter morrison was implicated in the child abuse scandal that engulfed children's homes in north wales. his sis…,engulfed,0.41250548
most brainless report today - us invaders and occupiers in iraq whining that pple they have been bombing and killin… https://t.co/mgl0fotzya,bombing,0.38707238
happening in 253c #ams2020 flood inundation mapping for texas. improved information representation for emergency m… https://t.co/9knartackf,inundation,0.05234088
this is wild 😭,sandstorm,0.012167046
"that’s good, because i’m getting ready to hit that continent with a massive earthquake!",earthquake,0.12596336
"ft ministry is expected to call for rfp this year in reconstructing sentul wet market, which was razed in fire duri… https://t.co/fqop8vjsyz",razed,0.3232787
"i remember i had a panic attack and my best friend was the only one that helped me via phone call 2,200 miles away… https://t.co/bbbucu166a",panic,0.111919224
watch: maradu demolition | biggest apartment complex among the four razed in seconds https://t.co/atfarhgiyi,razed,0.04532412
had an umbrella once... very flash. then it suffered a major structural failure in the middle of earls court… https://t.co/hktjhsr88p,structural%20failure,0.049472626
"the us &amp; the entire #freeworld must recognize that #china poses a huge threat to #humanrights, #democracy, &amp; ultimately…",threat,0.20431377
nevermind my nose started bleeding,bleeding,0.19848341
"#opinion the latest mining fatality has left us numb! if eight miners died in a single disaster, we'd see a royal c… https://t.co/dyxcbrkzzc",fatality,0.46374655
ocean temperatures hit record highs as rate of global warming accelerates https://t.co/ys3nst7ln9,hurricane,0.17058738
"another irreplaceable site under threat, this time a beautiful urban meadow full of wildlife in west london. please help…",threat,0.057173356
"just like what happened with #yezidi girls who refused to be sex slaves! 7000 yezidis were kidnapped ,enslaved. 19 were…",burned,0.21128196
"lmao tf going outside my house, i hear helicopters and cop car sirens, sounds like more than 1. who’s on the run 🤣",sirens,0.07522787
. tennis organisers have been forced to delay the start of the qualifying tournament and suspend practic…,hazardous,0.15013964
