id,keyword,location,text,target,word_count,mean_word_length,lexical_diversity,stop_word_count,url_count,punctuation_count,hashtag_count,text_clean,keyword_clean,text_tokens,text_lemma,keyword_disaster_rate
7448,meltdown,"Idaho, USA","god i love when liberals preach the hate, and blame the supporters of the great 45th potus. usa has… https://t.co/p02ws8717d",0,20,4.315789473684211,0.9,7,1,7,0,god i love when liberals preach the hate and blame the supporters of the great 45th potus usa has,meltdown,god love liberals preach hate blame supporters great 45th potus usa,god I love when liberal preach the hate and blame the supporter of the great 45th potus usa have,0.034482758620689655
2116,catastrophe,,"water being trucked in , watching 7, 30 this is looking like the biggest ongoing catastrop… https://t.co/fiwdjnpyxj",0,17,4.75,1.0,5,1,7,0,water being trucked in watching 7 30 this is looking like the biggest ongoing catastrop,catastrophe,water trucked watching looking like biggest ongoing catastrop,water be truck in watch 7 30 this be look like the big ongoing catastrop,0.0
609,attacked,,"india attacked by islamic terrorists (again) - leftist media silent! hundreds of jihadists attacked hindus, looted &amp; burned 1…",1,19,5.684210526315789,0.9473684210526315,2,0,7,0,india attacked by islamic terrorists again leftist media silent hundreds of jihadists attacked hindus looted burned 1,attacked,india attacked islamic terrorists leftist media silent hundreds jihadists attacked hindus looted burned,india attack by islamic terrorist again leftist medium silent hundred of jihadist attack hindu loot burn 1,0.13725490196078433
6218,hazard,Brisbane,see how close you get to hazard with the ugprades,0,10,4.0,1.0,5,0,0,0,see how close you get to hazard with the ugprades,hazard,see close get hazard ugprades,see how close you get to hazard with the ugprade,0.046511627906976744
5303,famine,The land of Sanatan Dharma,the britain had tendered apologies to other nations including kenya but india is totally ignored israel has not yet forgot…,0,20,5.2,1.0,8,0,0,0,the britain had tendered apologies to other nations including kenya but india is totally ignored israel has not yet forgot,famine,britain tendered apologies nations including kenya india totally ignored israel yet forgot,the britain have tender apology to other nation include kenya but india be totally ignore israel have not yet forget,0.18181818181818182
8971,screaming,loonatheworld,i was at the dentist and a woman is screaming outside she looks crazy im scared to go out,1,19,3.736842105263158,1.0,10,0,0,0,i was at the dentist and a woman is screaming outside she looks crazy im scared to go out,screaming,dentist woman screaming outside looks crazy scared,I be at the dentist and a woman be scream outside she look crazy I m scared to go out,0.0784313725490196
7250,mass%20murder,,"the dems, were for iran last week, when iran attacked our embassy in iraq. they cried and said, gr… https://t.co/qg7ipz2ssb",0,20,4.2631578947368425,0.95,8,1,9,0,the dems were for iran last week when iran attacked our embassy in iraq they cried and said gr,mass murder,dems iran last week iran attacked embassy iraq cried said,the dem be for iran last week when iran attack our embassy in iraq they cry and say gr,0.0958904109589041
7363,massacre,,"absolutely! and all this, after the uss liberty massacre of june 8, 1967 at the hands of the terrorist israeli air force &amp; nav…",1,24,4.333333333333333,0.875,9,0,5,0,absolutely and all this after the uss liberty massacre of june 8 1967 at the hands of the terrorist israeli air force nav,massacre,absolutely uss liberty massacre june 1967 hands terrorist israeli air force nav,absolutely and all this after the uss liberty massacre of june 8 1967 at the hand of the terrorist israeli air force nav,0.47368421052631576
314,annihilation,,you need to survive to practice faith. why do you think hindu.genocide… https://t.co/xq3zy7y7op,1,13,5.0,0.8461538461538461,6,1,7,0,you need to survive to practice faith why do you think hindu genocide,annihilation,need survive practice faith think hindu genocide,you need to survive to practice faith why do you think hindu genocide,0.2222222222222222
360,apocalypse,,👍 on : what to wear in a zombie apocalypse (zombie survival guide) https://t.co/bbn6ceum3n,0,14,4.153846153846154,1.0,5,1,8,0,on what to wear in a zombie apocalypse zombie survival guide,apocalypse,wear zombie apocalypse zombie survival guide,on what to wear in a zombie apocalypse zombie survival guide,0.2571428571428571
8881,sandstorm,,sandstorm hahahahhaa,0,2,9.5,1.0,0,0,0,0,sandstorm hahahahhaa,sandstorm,sandstorm hahahahhaa,sandstorm hahahahhaa,0.10416666666666667
1645,bombing,Calgary,the right are trying to trick their followers into believing the left's opposition to the iran invasion is based on suppo…,0,21,4.857142857142857,0.8571428571428571,10,0,1,0,the right are trying to trick their followers into believing the left is opposition to the iran invasion is based on suppo,bombing,right trying trick followers believing left opposition iran invasion based suppo,the right be try to trick their follower into believe the left be opposition to the iran invasion be base on suppo,0.058823529411764705
3934,destroyed,,i really think that if a labour government had destroyed the criminal justice system as comprehensively as the tories have do…,0,21,5.0476190476190474,0.9047619047619048,10,0,0,0,i really think that if a labour government had destroyed the criminal justice system as comprehensively as the tories have do,destroyed,really think labour government destroyed criminal justice system comprehensively tories,I really think that if a labour government have destroy the criminal justice system as comprehensively as the tory have do,0.17777777777777778
10638,upheaval,Planet Earth,"2019 was a year of major upheaval – and i did not renew the domain for the website. i am, however, making plans to… https://t.co/k3vmbilaao",0,25,3.8333333333333335,0.92,11,1,8,0,2019 was a year of major upheaval and i did not renew the domain for the website i am however making plans to,upheaval,2019 year major upheaval renew domain website however making plans,2019 be a year of major upheaval and I do not renew the domain for the website I be however make plan to,0.04
5616,fire,Outback Oz,1. when your dog/cat starts peeing on it/crapping in the pot 2. when you get sick of cleaning up the dropped pine…,0,22,4.2272727272727275,0.9090909090909091,10,0,4,0,1 when your dog cat starts peeing on it crapping in the pot 2 when you get sick of cleaning up the dropped pine,fire,dog cat starts peeing crapping pot get sick cleaning dropped pine,1 when your dog cat start pee on it crap in the pot 2 when you get sick of clean up the drop pine,0.058823529411764705
637,attacked,"Lagos, Nigeria",son and teenage girl arrested after couple attacked at centurion home https://t.co/wd9rbn13yv,0,12,5.363636363636363,1.0,3,1,5,0,son and teenage girl arrested after couple attacked at centurion home,attacked,son teenage girl arrested couple attacked centurion home,son and teenage girl arrest after couple attack at centurion home,0.13725490196078433
951,bleeding,"Riverside, CA",. has a chance to stop this bleeding at the debate tomorrow night. we will see if she does the right thing.,0,22,3.909090909090909,0.9545454545454546,12,0,3,0,has a chance to stop this bleeding at the debate tomorrow night we will see if she does the right thing,bleeding,chance stop bleeding debate tomorrow night see right thing,have a chance to stop this bleeding at the debate tomorrow night we will see if she do the right thing,0.10416666666666667
8451,refugees,Kochi / Pune,"there's a structural difference between refugees settling in a place because of war, famine, partitions, genocide and c…",0,18,5.722222222222222,0.9444444444444444,7,0,4,0,there is a structural difference between refugees settling in a place because of war famine partitions genocide and c,refugees,structural difference refugees settling place war famine partitions genocide,there be a structural difference between refugee settle in a place because of war famine partition genocide and c,0.09803921568627451
9655,suicide%20bomb,Central TX,isis strap suicide vests to puppies in horror footage of sick front line bomb tactic https://t.co/fikyxshtub,0,16,4.666666666666667,1.0,3,1,5,0,isis strap suicide vests to puppies in horror footage of sick front line bomb tactic,suicide bomb,isis strap suicide vests puppies horror footage sick front line bomb tactic,isis strap suicide vest to puppy in horror footage of sick front line bomb tactic,0.13636363636363635
9493,storm,Harta-Tahta-Shochan❣,"20.01.12 bay storm nino talked about how at their after-party, they had a number quiz about 5x20 eg. how many hours did…",0,22,4.5,0.9090909090909091,9,0,5,0,20 01 12 bay storm nino talked about how at their after party they had a number quiz about 5x20 eg how many hours did,storm,bay storm nino talked party number quiz 5x20 many hours,20 01 12 bay storm nino talk about how at their after party they have a number quiz about 5x20 eg how many hour do,0.2553191489361702
1066,blight,Earth,oh that's a good point. we went with a tiefling named avanka fire-blight.,0,13,4.6923076923076925,0.9230769230769231,4,0,4,0,oh that is a good point we went with a tiefling named avanka fire blight,blight,good point went tiefling named avanka fire blight,oh that be a good point we go with a tiefling name avanka fire blight,0.02631578947368421
2362,collapse,"South West, England","this kind of internet traffic alternative is the massive difference among successes or simply collapse, solution ha… https://t.co/aaiqqqf0yu",0,18,5.882352941176471,1.0,5,1,6,0,this kind of internet traffic alternative is the massive difference among successes or simply collapse solution ha,collapse,kind internet traffic alternative massive difference among successes simply collapse solution,this kind of internet traffic alternative be the massive difference among success or simply collapse solution ha,0.0
9905,survived,,aaaaaaaaacccccckkkkkkkk survived!!!!,0,2,17.5,1.0,0,0,4,0,aaaaaaaaacccccckkkkkkkk survived,survived,aaaaaaaaacccccckkkkkkkk survived,aaaaaaaaacccccckkkkkkkk survive,0.28
10489,traumatised,,is it just me or idk what happened at the end of tgcf at all? like i was so traumatised that i only remember that h… https://t.co/obrqxe6lc9,0,27,3.5,0.8888888888888888,17,1,6,0,is it just me or idk what happened at the end of tgcf at all like i was so traumatized that i only remember that h,traumatised,idk happened end tgcf like traumatized remember,be it just I or idk what happen at the end of tgcf at all like I be so traumatized that I only remember that h,0.13114754098360656
8064,panic,she/ her,what’s that or panic?,0,4,4.5,1.0,2,0,1,0,what s that or panic,panic,panic,what s that or panic,0.11363636363636363
9815,sunk,,"makes perfect sense, the only alternative is that bernie fucked up, which isn't possible because if he's capable of mortal er…",0,21,5.0476190476190474,1.0,10,0,4,0,makes perfect sense the only alternative is that bernie fucked up which is not possible because if he is capable of mortal er,sunk,makes perfect sense alternative bernie fucked possible capable mortal,make perfect sense the only alternative be that bernie fuck up which be not possible because if he be capable of mortal er,0.125
11130,windstorm,"Denver, Colorado",five-year-old lucille has been through a lot in the last week. her owner says she got out of the house in a windsto… https://t.co/beu1ciasin,1,24,4.086956521739131,0.875,13,1,8,0,five year old lucille has been through a lot in the last week her owner says she got out of the house in a windsto,windstorm,five year old lucille lot last week owner says got house windsto,five year old lucille have be through a lot in the last week her owner say she get out of the house in a windsto,0.75
9623,suicide%20bomb,"Rawalpindi, Pakistan",last 3 weeks main 3 bomb &amp; suicide attacks howay street crime main 100… https://t.co/8s9dm1emh9,1,15,4.142857142857143,0.8666666666666667,0,1,7,0,last 3 weeks main 3 bomb suicide attacks howay street crime main 100,suicide bomb,last weeks main bomb suicide attacks howay street crime main 100,last 3 week main 3 bomb suicide attack howay street crime main 100,0.13636363636363635
9028,screams,,all that glitters is not gold but https://t.co/bhetizdhnd glitters and screams gold🔱😊 • • • • #5daystotitanscollection #5…,0,18,3.5,0.7777777777777778,6,1,7,2,all that glitters is not gold but glitters and screams gold 5daystotitanscollection 5,screams,glitters gold glitters screams gold 5daystotitanscollection,all that glitter be not gold but glitter and scream gold 5daystotitanscollection 5,0.05405405405405406
8388,razed,"Mumbai, India","as unprecedented wildfires threaten large parts of australia, the nation’s agriculture industries are counting the… https://t.co/4qjrgmh347",0,16,6.733333333333333,1.0,4,1,6,0,as unprecedented wildfires threaten large parts of australia the nation s agriculture industries are counting the,razed,unprecedented wildfires threaten large parts australia nation agriculture industries counting,as unprecedented wildfire threaten large part of australia the nation s agriculture industry be count the,0.3333333333333333
6781,injured,"Wales, United Kingdom",calum chambers injured. mavropanos loaned. mustafi likely to leave to turkey. that must mean we will sign a centre-back th…,0,20,5.2,0.95,6,0,4,0,calum chambers injured mavropanos loaned mustafi likely to leave to turkey that must mean we will sign a centre back th,injured,calum chambers injured mavropanos loaned mustafi likely leave turkey must mean sign centre back,calum chamber injure mavropanos loan mustafi likely to leave to turkey that must mean we will sign a centre back th,0.42424242424242425
7690,nuclear%20disaster,,"“environmentalists”? no. germany closed nuclear down, replaced it with… https://t.co/f3tb9pxi6c",0,10,7.0,1.0,1,1,8,0,environmentalists no germany closed nuclear down replaced it with,nuclear disaster,environmentalists germany closed nuclear replaced,environmentalist no germany close nuclear down replace it with,0.20754716981132076
3210,deaths,UTP,"in perak, 17 active chikungunya outbreak localities have been identified, including batang padang, kuala kangsar, larut and ka…",1,18,6.111111111111111,1.0,4,0,4,0,in perak 17 active chikungunya outbreak localities have been identified including batang padang kuala kangsar larut and ka,deaths,perak active chikungunya outbreak localities identified including batang padang kuala kangsar larut,in perak 17 active chikungunya outbreak locality have be identify include batang padang kuala kangsar larut and ka,0.15625
3267,debris,"Georgia, USA",the sweet relief of rain after bushfires threaten disaster for our rivers fire debris flowing into the murray-darling basin w…,0,20,5.35,0.95,7,0,1,0,the sweet relief of rain after bushfires threaten disaster for our rivers fire debris flowing into the murray darling basin w,debris,sweet relief rain bushfires threaten disaster rivers fire debris flowing murray darling basin,the sweet relief of rain after bushfire threaten disaster for our river fire debris flow into the murray darling basin w,0.20588235294117646
9666,suicide%20bomb,,isis strap suicide vests to puppies in horror footage of sick front line bomb tactic https://t.co/g3kmjottb7,0,16,4.666666666666667,1.0,3,1,5,0,isis strap suicide vests to puppies in horror footage of sick front line bomb tactic,suicide bomb,isis strap suicide vests puppies horror footage sick front line bomb tactic,isis strap suicide vest to puppy in horror footage of sick front line bomb tactic,0.13636363636363635
