text,keyword,probability_disaster
"troops of the us 30th infantry division retook the baugnez crossroads at malmedy, and discovered the frozen bodies of 84 kille…",massacre,0.93230116
conservationists and scientists fear bushfires that have ravaged parts of australia have had a catastrophic impact on flora an…,catastrophic,0.7611751
vice president leni robredo visits evacuation centers in 3 towns in batangas heavily damaged by the #taaleruption2020. h…,evacuation,0.78726315
"avalanche strikes #neelumvalley &amp; it's been 10 hours, our people couldnt make a headlines in #pakistanimedia. laiba… https://t.co/gpzvvmpud8",avalanche,0.9617162
isis calls on its supporters to start forest fires. islamic state has called its fanatics to set fire to forests in eu…,forest%20fire,0.5390073
"suspected suicide bomber headed toward america, likely califorina... https://t.co/f8n8ztjlf3",suicide%20bomber,0.9092705
kaduna insecurity! the following are communities so far displaced by armed bandits in chikun and birnin gwari lgas. badna…,displaced,0.91772616
this was me when my car got wrecked 🤣 https://t.co/h8l3pfz6si,wrecked,0.54267454
sarda(10 dwarf cursed) was debilitated by noxious blight before falling to death by gima the thief on ruins of kor'pul 3.,blight,0.5382732
just had an email from a churchwarden to tell me that their roof lead has been stolen. they have no insurance as the pa…,sirens,0.78843695
taehyung replying (on a weverse post) about the situation here in the philippines (the explosion of taal) and said “late…,explosion,0.64882433
russian hackers targeted ukrainian company at center of trump's impeachment storm https://t.co/wxj2eiksfc,storm,0.8319576
"50% of syrians made homeless by war, living in a tent, so as not to die under the bombing... https://t.co/fsmzouhjyz",bombing,0.6336718
canada's trudeau: iran plane crash victims would be alive had there been no tension in region https://t.co/raqoylebsi https://…,crash,0.76514363
"just got back from the hospital bc i accidentally blended my finger while cooking, and i promised the ambulance doctors i w…",ambulance,0.70216733
"lee jeno, devastation to mankind https://t.co/bq4erfm1o5",devastation,0.68462723
#kashmir dsp davinder singh's dramatic arrest with 2 militants has created big national security questions for india: e…,attack,0.86763066
huge rain bomb set to hit drought-ravaged australia gives hope to exhausted firefighters https://t.co/esshqmdm1e,drought,0.6647899
"two days before the end of 2019, my dad collapsed suddenly, purple by the time he hit the floor. his partner, mere seconds awa…",collapsed,0.868461
"22,000 trees to be cut down to expand #maafaru airport. a lagoon to be permanently destroyed. an airport that has already c…",destruction,0.82464683
